titelde,SDGs,lernergebnissedeUNDlerninhaltede
Signalverarbeitung,"4, 9",Die Studierenden beherrschen grundlegende Methoden zum Verstaendnis und Entwurf signalverarbeitender Systeme. In der Vorlesung wird im wesentlichen der Entwurf analoger und digitaler Filter betrachtet. Dabei werden auch Wortlaengeneffekte und Filterstrukturen untersucht. Hardware-Gesichtspunkte finden sich am Semesterende. Innerhalb der Integrierten Veranstaltung gibt es hauptsaechlich Programmieruebungen in MATLAB zum Entwurf und zur Simulation digitaler Filter sowie zum Sigma-Delta-Umsetzer.
Simulation,"4, 9","Die Studierenden beherrschen nach erfolgreichem Besuch der Veranstaltungen dieses Moduls grundlegende Methoden zur Modellbildung technischer Systeme. Ferner haben sie die Kompetenz erworben, selbstaendig praxisrelevanter Aufgaben mit Hilfe der Simulation zu loesen. In der IV Modellbildung und Simulation mechatronischer Systeme wir anfangs eine Einfuehrung in die Anwendung der Simulation gegeben, um anschliessend die Methoden und Werkzeuge zur Modellbildung zu lehren. Als Anwendung in der Simulation gelten die Gebiete der Diagnose, der Steuerung und der Regelung. Fuer die Simulation werden die Grundlagen von Simulink und Modelica gelehrt. Die Vorlesungsvortraege werden kombiniert mit projektorientierten Modellierungsaufgaben, die von den Studierenden selbstaendig geloest werden. Neben der Stoffvermittlung in der Vorlesung koennen die Studierenden in einer Gruppenarbeit im Projekt eine praxisnahe Simulation zum Steuergeraetetest oder -optimierung entwickeln oder ein Modell eines mechatronischen Systems erstellen."
Simulation und Technische Diagnose,"4, 9","Die Studierenden besitzen einen ueberblick auf dem Gebiet der Modellbildung und der Technischen Diagnose und koennen fuer die Kernaufgaben Steuerung, Regelung und Diagnose mechatronischer Komponenten nach wissenschaftlichen Methoden selbststaendig Loesungen erarbeiten. In der IV Modellbildung und Simulation mechatronischer Systeme wird anfangs eine Einfuehrung in die Anwendung der Simulation gegeben, um anschliessend die Methoden und Werkzeuge zur Modellbildung zu lehren. Als Anwendung in der Simulation gelten die Gebiete der Diagnose, der Steuerung und der Regelung. Fuer die Simulation werden die Grundlagen von Simulink und Modelica gelehrt. Die Vorlesungsvortraege werden kombiniert mit projektorientierten Modellierungsaufgaben, die von den Studierenden selbstaendig geloest werden.  In der Vorlesung Mustererkennung und Technische Diagnose werden die statistischen Grundlagen der Mustererkennung gelehrt. Anschliessend werden Klassifikations- und Mustererkennungsverfahren (Machine Learning) sowie moderne modellgestuetzte Diagnoseverfahren fuer mechatronische Systeme behandelt."
Software Engineering eingebetteter Systeme,"4, 9, 11","Die Studierenden sind in der Lage, die Besonderheiten von eingebetteter Software zu erlaeutern und koennen geeignete Spezifikations- und Programmiersprachen nennen und anwenden. Sie koennen den Unterschied zwischen event- und zeitgesteuerten Systemen erkennen und diesen adaequat in Systeme mit asynchroner bzw. synchroner Semantik abbilden. Sie beherrschen automatenbasierte Spezifikation. Ausserdem koennen sie unterschiedliche Nebenlaeufigkeitsmodelle und Echtzeitschedulingalgorithmen gegenueberstellen. Durch die gemeinsame Bearbeitung von Hausaufgaben in kleinen Teams haben sie ihre Sozialkompetenz erweitert. ueber 98% aller programmierbaren Prozessoren werden in eingebetteten Systemen eingesetzt. Der Software-Anteil in eingebetteten Systemen spielt dabei eine zunehmend groessere Rolle. Zum Beispiel betrug in einem PKW gehobener Ausstattung im Jahr 2008 die Groesse eingebetteter Software ca. 10 Mio. Lines of Code (LOC). in aktuellen Fahrzeugen sind bereits bis zu 200 Mio. LOC Software enthalten. aehnlich wie das exponentielle Wachstum im Hardwarebereich mit Moores Law charakterisiert wird, beobachtet man ein analoges exponentielles Wachstum bei eingebetteter Software. In der Vorlesung werden die Besonderheiten von eingebetteter Software betrachtet und geeignete Methoden und Techniken des Software Engineering eingebetteter Systeme vorgestellt. Schwerpunkte sind Spezifikations- und Programmiermethoden fuer eingebettete Systeme (Endliche Automaten, Statecharts, synchrone Sprachen, Programmiermodelle und -schnittstellen), Echtzeitbetriebssysteme, sowie Beispielanwendungen (z.B. Automotive)."
Einfuehrung in die Steuerung und Regelung von Kfz-Antriebsstraengen,"7, 9, 11, 12","Die Studierenden besitzen einen ueberblick auf dem Gebiet der Steuerung und Regelung des Antriebsstrangs konventioneller Fahrzeuge, wobei laengsdynamische Vorgaenge im Vordergrund stehen. Sie sind in der Lage selbstaendig Steuerungen und Regelungen von Komponenten des Antriebsstrang (insbesondere Komponenten des Getriebes und des Motors) zu entwerfen. In der VL Einfuehrung in die Steuerung und Regelung von Kfz-Antriebsstraengen wird auf die zur Regelung und Steuerung notwendigen Kfz-Steuergeraetesysteme eingegangen. Es werden dabei die Themen Getriebeelektronik, Steuerung und Regelung typischer motorischer Prozesse und VerfahrenAnwendungen der Motorsteuergeraeteparametrierung (Applikation) behandelt. In dem Praktikum Einfuehrung in die Steuerung und Regelung von Kfz-Antriebsstraengen werden Aufgaben in Gruppenarbeit aus der Vorlesung behandelt, die durch Simulationswerkzeuge wie Simulink zu loesen sind."
Technische Diagnose,"4, 9","Die Studierenden haben nach dem Besuch der Lehrveranstaltungen vertiefte Kenntnisse zum Aufbau und zur Wirkungsweise eines Mustererkennungssystems zur Diagnose mechatronischer Systeme erworben und sind in der Lage, diese selbstaendig, praxisrelevant anzuwenden sowie wissenschaftlich fundiert weiterzuentwickeln. Darueber hinaus haben sie den ueberblick erworben, mit welchen Software-Werkzeugen (Python) ein DiagnosesystemMustererkennungssystem realisiert werden kann. Diagnosesysteme haben die Aufgabe, die bei der Fertigung oder dem Betrieb elektrischer, mechanischer oder mechatronischer Systeme (Prozesse) auftretenden Fehler schnell und moeglichst genau nach Art, Ort und Ursache zu bestimmen. Die Vorlesung gibt eine Einfuehrung in die Verfahren der Fehlerdiagnose fuer automatisierungstechnische Prozesse und mechatronischer Komponenten und Geraete. Neben den klassischen signalgestuetzten Diagnoseverfahren werden moderne, forschungsnahe modellgestuetzte Methoden dargestellt. Eine Vertiefung erfolgt darueber hinaus auf dem Gebiet der Mustererkennung, mit dem Ziel, diese fuer Diagnosezwecke einzusetzen.  Das Praktikum Mustererkennung und Technische Diagnose enthaelt die Inhalte der Vorlesung, wobei praktische Probleme mit Python geloest werden. Hierzu wird an einem Pruefstand eine Klassifikation von Elektromotoren durchgefuehrt."
Technische Informatik in der Biomedizin,"3, 4, 9","Studierende beherrschen die Grundlagen der Informations- und Kommunikationstechnologie in der bildgestuetzten Medizin, kennen die wichtigsten bildgebenden Verfahren und koennen selbstaendig Programmieraufgaben aus dem Bereich der Technischen Informatik in der Biomedizin bearbeiten. Digitale Bildgebung in der Medizin, z.B. CT, MRI, PET, SPECT, , PACS, IHE, IPD, CAD, CAS, SRI, SN, SSE, Systemspezifikation und Anwendung in der Medizin."
Theoretische Grundlagen der Informatik,"4, 9","Die Studierenden sind in der Lage, die grundlegenden Begriffe und Formalismen der Diskreten Mathematik eigenstaendig anzuwenden. Sie beherrschen den Umgang mit formalen Sprachen und Grammatiken sowie mit den wichtigsten theoretischen Maschinenmodellen. Sie besitzen ein Verstaendnis der grundlegenden Komplexitaetsklassen und sind befaehigt, die Komplexitaet ausgewaehlter Beispielprobleme zu beurteilen.    - Mengen, Logik, Abbildungen, Relationen, Ordnungen   - Grammatiken, Chomsky-Hierarchie   - endliche Automaten, Kellerautomaten, Turingmaschinen, Berechenbarkeit   - Aufwand von Algorithmen und Komplexitaet von Problemen   - Komplexitaet von Wortproblemen der Chomsky-Hierarchie   - P, NP und NP-Vollstaendigkeit"
Verteilte Systeme,"4, 9, 11","Die Studierenden * verstehen die spezifischen Eigenschaften Verteilter Systeme. * kennen grundlegende verteilte Algorithmen. * erkennen die vorgestellten Mechanismen und Konzepte als grundlegend fuer den Bau grosser Anwendungssysteme. Das Modul vermittelt Kenntnisse ueber die Architektur und Funktionalitaet von verteilten Systemen, die eine wichtige Komponente komplexer Anwendungssysteme bilden. Dabei werden charakteristische Eigenschaften und Systemmodelle sowie unterstuetzende Aspekte aus den Bereichen Rechnerkommunikation, Betriebssysteme und Sicherheit betrachtet. Nach einer Einleitung in das Thema, welche grundlegende charakteristische Eigenschaften, Definition sowie aktuelle Beispiele verteilter Systeme diskutiert, werden folgenden Themenkomplexe behandelt: Architekturmodelle verteilter Systeme, Kooperation und Koordination, verteilte Algorithmen, Programmiermodelle und Sicherheit."
Wahlmodul Beleuchtungstechnik,"7, 9, 11, 13","Die Studierenden sind in der Lage, selbststaendig einfache lichttechnische Berechnungen und Begutachtungen von Beleuchtungsanlagen durchzufuehren. Vorlesung Beleuchtungstechnik I --- Lichtquellen, Leuchten, Lichtmanagement, Planung von Innenbeleuchtungsanlagen, Guetemerkmale, Berechnung von Beleuchtungsanlagen, wirtschaftliche Betrachtungen Integrierte Veranstaltung Beleuchtungstechnik II --- Ausgewaehlte Kapitel zur Beleuchtungstechnik: u.a. Strassenbeleuchtung, Tunnelbeleuchtung, Lichtmanagement, Vertiefung LED und Leuchten, Lichtsimulationswerkzeuge, Praktikum Thermographie Beleuchtungstechnik Projekt --- Bestandsaufnahme und Beispielplanung einer bestehenden Beleuchtungsanlage in Bezug auf die Einhaltung von Normen und Richtlinien sowie Komfort und Energieeffizienz. Das Modul enhaelt auch Inhalte zur gesellschafltichen Verantwortung und Nachhaltigkeit. Der Einfluss der Strassenbeleuchtung auf die Schlafqualitaet und den Insektenschutz wird in der Veranstaltungsreihe Beleuchtungstechnik II behandelt. Die Reduzierung des Energiebedarfs fuer kuenstliche Beleuchtung durch Nutzung von energieeffizienten Komponenten, anwendungsoptimierten Lichtloesungen, Lichtmanagementsystemen und einer geeigneten kuenstlichen Beleuchtungsplanung ist Bestandteil der Veranstaltungsreihe Beleuchtungstechnik I und Beleuchtungstechnik II. Die Nutzung von Licht fuer Wohlbefinden und Gesundheit wird in der Veranstaltungsreihe Beleuchtungstechnik I angesprochen."
Windkraftgeneratoren,"7, 9, 13","Studierende, die das Wahlmodul Windkraftgeneratoren (Wind Power Generation) waehlen, sind nach erfolgreichem Abschluss in der Lage die im Wind enthaltene Energie zu berechnen und anhand unterschiedlicher Verfahren geeignete Standorte fuer Windkraftanlagen zu bestimmen. Sie werden Aufbau und Betriebsverhalten von Windkraftanlagen beurteilen und ihren Einsatz projektieren koennen. Die Studierenden werden in der Lage sein die gaengigen Bauarten von Windkraftgeneratoren zu bewerten und geeignete Getriebearten sowie Netzanschluesse festzulegen. Weiterhin verfuegen Sie ueber ein solides Grundverstaendnis der bei Windkraftanlagen eingesetzten Leistungselektronik sowie ueber die Dimensionierung von Windparks. Im Wahlmodul Windkraftgeneratoren (Wind Power Generation) werden Kenntnisse ueber die Projektierung von Windkraftanlagen vermittelt. Dazu gehoeren Grundkenntnisse ueber das Windaufkommen und die Auswertung empirisch gesammelter Winddaten. Weiter werden verschiedene Algorithmen gelehrt, welche es ermoeglichen Windaufkommen fuer vorher definiert Gebiete analytisch herzuleiten. Im Wahlmodul wird Fachwissen zu Windkonvertern, den elektrischen Generatoren, Anpasseinrichtungen (Umrichter) und der Netzeinspeisung (Netzvertraeglichkeit) vermittelt. Besonderer Wert wird auf das Systemverhalten und den Umgang mit Stoerquellen gelegt."
Zeitdiskrete Regelsysteme,9,"Die Studierenden haben vertiefte regelungstechnische Kenntnisse und sind nach erfolgreichem Abschluss in der Lage, haeufig auftretende praktische Aufgabenstellungen im Bereich der Regelungstechnik zu bearbeiten. Dieses Modul vermittelt insbesondere einen ueberblick ueber Regelungsmethoden fuer zeitlich abgetastete Systeme. Dieses Modul vermittelt insbesondere einen ueberblick ueber Regelungsmethoden fuer zeitlich abgetastete Systeme. Es werden folgende Themen behandelt: Abtastvorgang, Abtasttheorem, Modelle zeitdiskreter Systeme, z-Transformation, Diskretisierungsverfahren, Analyse zeitdiskreter Regelkreise, Synthese zeitdiskreter Regelkreise."
Zeitdiskrete Regelsysteme,9,"Die Studierenden haben vertiefte regelungstechnische Kenntnisse und sind nach erfolgreichem Abschluss in der Lage, haeufig auftretende praktische Aufgabenstellungen im Bereich der Regelungstechnik zu bearbeiten. Dieses Modul vermittelt insbesondere einen ueberblick ueber Regelungsmethoden fuer zeitlich abgetastete Systeme. Dieses Modul vermittelt insbesondere einen ueberblick ueber Regelungsmethoden fuer zeitlich abgetastete Systeme. Es werden folgende Themen behandelt: Abtastvorgang, Abtasttheorem, Modelle zeitdiskreter Systeme, z-Transformation, Diskretisierungsverfahren, Analyse zeitdiskreter Regelkreise, Synthese zeitdiskreter Regelkreise basierend auf Zustandsraummodellen inkl. Beobachterentwurf und basierend auf Transferfunktionen, Rapid Prototyping mit MatlabSimulink, Durchfuehrung von zwei Regelungsexperimenten."
Anwendungen in der Simulation und Technischen Diagnose,"4, 9","Nach Abschluss der Moduls sind die Studierenden in der Lage, praktische Probleme auf den Gebieten der Mustererkennung und ModellbildungSimulation selbstaendig zu loesen. Hierzu gehoeren der Entwurf, der Test und die Anwendung eines Mustererkennungssystem, das in Python erstellt wird. Sollte das Projekt im Wahlpflichtbereich gewaehlt werden, sind sie darueber hinaus in der Lage, mit Hilfe der objektorientierten Modellierungssprache Modelica oder unter Simulink lineare und nichtlineare komplexe Modelle mechatronischer Systeme zu entwickeln, zu simulieren und anzuwenden. Nach dem Besuch des Seminars sind die Studierenden befaehigt, zu einem speziellen Forschungsthema eine Literaturrecherche durchzufuehren, die Ergebnisse wissenschaftlich zusammenzufassen und anschliessend in einem Vortrag zu praesentieren und zu verteidigen. Das Praktikum Mustererkennung und Technische Diagnose vertieft die Inhalte der Vorlesung Mustererkennung und Technische Diagnose (Modul Simulation und Technische Diagnose), wobei praktische Probleme geloest werden: Klassifikation von Elektromotoren. Im Seminar werden Vortraege neuer Forschungsergebnisse und Entwicklungstendenzen auf den Gebieten der Mess- und Diagnosetechnik, der Modellbildung und Simulation ausgearbeitet und gehalten. Der Schwerpunkt liegt im Bereich der Fahrzeug- und Motorentechnik."
Programmierpraktikum: Verteilte Systeme,"4, 9, 11","Absolventen dieses Moduls haben Kenntnisse und praktische Erfahrungen im Bereich moderner, verteilter und komplexer IT-Systeme. Schwerpunkte sind der Softwareentwurf, Programmierung und Umsetzung Verteilter Systeme. Die Projektarbeit im Team vermittelt zusaetzlich soziale und Projektmanagement-Kompetenzen. Das Internet als Zugang zu Diensten aller Art ist heutzutage eine Selbstverstaendlichkeit. Fuer den Anbieter solcher Dienste bedeutet dies neue Anforderungen beim Betrieb seiner IT-Infrastruktur, um beispielsweise eine hohe Verfuegbarkeit zu garantieren oder in Lastsituationen schnell reagieren zu koennen. Das Projekt fuehrt in moderne Technologien ein, die in solch einem Umfeld eingesetzt werden. Hierzu wird im Projekt eine praxisnahe Aufgabe gestellt, die mittels ausgewaehlter Technologien von den Studierenden selbstaendig im Team geloest werden soll. Die Gemeinschaftsaufgabe dient zur Umsetzung der erworbenen Methoden und Kenntnisse im Grundstudium der Informatik. Dies geschieht unter moeglichst realistischen Bedingungen inklusive Planung, Durchfuehrung, Management, Koordination und Ergebnispraesentation der konkreten Teamaufgabe."
